iter	Passed	Remaining
402	9681	2330
403	9705	2306
404	9725	2281
405	9742	2255
406	9759	2230
407	9779	2205
408	9806	2181
409	9831	2158
410	9853	2133
411	9882	2110
412	9916	2089
413	9947	2066
414	9974	2042
415	10004	2020
416	10040	1998
417	10074	1976
418	10103	1953
419	10128	1929
420	10148	1904
421	10168	1879
422	10187	1854
423	10202	1828
424	10217	1803
425	10241	1779
426	10264	1754
427	10289	1730
428	10311	1706
429	10335	1682
430	10357	1658
431	10376	1633
432	10404	1609
433	10436	1587
434	10470	1564
435	10499	1541
436	10518	1516
437	10536	1491
438	10556	1466
439	10570	1441
440	10587	1416
441	10606	1391
442	10627	1367
443	10648	1343
444	10661	1317
445	10679	1293
446	10695	1268
447	10712	1243
448	10730	1218
449	10750	1194
450	10769	1170
451	10788	1145
452	10808	1121
453	10836	1097
454	10864	1074
455	10886	1050
456	10904	1026
457	10922	1001
458	10940	977
459	10958	952
460	10976	928
461	10995	904
462	11017	880
463	11038	856
464	11061	832
465	11086	808
466	11104	784
467	11123	760
468	11145	736
469	11165	712
470	11195	689
471	11231	666
472	11268	643
473	11306	620
474	11334	596
475	11362	572
476	11386	549
477	11410	525
478	11432	501
479	11451	477
480	11469	453
481	11483	428
482	11497	404
483	11513	380
484	11529	356
485	11544	332
486	11562	308
487	11584	284
488	11610	261
489	11633	237
490	11653	213
491	11671	189
492	11689	165
493	11709	142
494	11729	118
495	11748	94
496	11762	71
497	11782	47
498	11807	23
499	11829	0
